gene_id	transcript_id(s)	AtlanticSalmon_RNA_Gill_Immature_Female_R1	AtlanticSalmon_RNA_Gill_Immature_Female_R2	AtlanticSalmon_RNA_Gill_Immature_Female_R3	AtlanticSalmon_RNA_Gill_Immature_Male_R1	AtlanticSalmon_RNA_Gill_Immature_Male_R2	AtlanticSalmon_RNA_Gill_Immature_Male_R3	AtlanticSalmon_RNA_Gill_Mature_Female_R1	AtlanticSalmon_RNA_Gill_Mature_Female_R2	AtlanticSalmon_RNA_Gill_Mature_Female_R3	AtlanticSalmon_RNA_Gill_Mature_Male_R1	AtlanticSalmon_RNA_Gill_Mature_Male_R2	AtlanticSalmon_RNA_Gill_Mature_Male_R3
ENSSSAG00000107612	ENSSSAT00000165611,ENSSSAT00000205929,ENSSSAT00000237553	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107613	ENSSSAT00000165108,ENSSSAT00000253539	0.00	0.00	0.06	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107614	ENSSSAT00000176899,ENSSSAT00000254397	1.64	1.21	1.67	1.61	1.92	2.06	2.43	1.99	1.71	1.98	2.45	1.54
ENSSSAG00000107615	ENSSSAT00000160788,ENSSSAT00000223260,ENSSSAT00000223739,ENSSSAT00000240456	6.06	10.89	2.29	5.03	7.64	3.17	4.53	12.37	0.00	5.56	8.88	12.46
ENSSSAG00000107616	ENSSSAT00000249196	0.69	1.59	1.81	0.00	2.10	0.00	0.00	0.00	0.00	0.00	1.06	0.00
ENSSSAG00000107617	ENSSSAT00000166037	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107618	ENSSSAT00000184923	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107619	ENSSSAT00000199245	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107620	ENSSSAT00000110795	0.00	0.00	0.09	0.00	0.09	0.09	0.00	0.00	0.10	0.09	0.00	0.00
ENSSSAG00000107621	ENSSSAT00000221238	3.38	4.06	1.21	4.48	4.27	3.53	3.35	5.97	4.25	3.85	4.57	2.54
ENSSSAG00000107622	ENSSSAT00000204010	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107623	ENSSSAT00000224346	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107624	ENSSSAT00000212149,ENSSSAT00000235137	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107625	ENSSSAT00000217553	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107626	ENSSSAT00000213343	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107627	ENSSSAT00000199262	0.03	0.00	0.02	0.00	0.00	0.08	0.04	0.00	0.00	0.05	0.02	0.00
ENSSSAG00000107628	ENSSSAT00000174138,ENSSSAT00000175502,ENSSSAT00000195201,ENSSSAT00000199800,ENSSSAT00000212533,ENSSSAT00000214014,ENSSSAT00000223095,ENSSSAT00000229388,ENSSSAT00000233012,ENSSSAT00000248519	18.78	11.09	21.01	9.80	30.77	17.05	11.53	6.86	17.36	9.40	6.42	8.02
ENSSSAG00000107629	ENSSSAT00000231393	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107630	ENSSSAT00000161987	2.54	2.52	2.71	3.36	2.56	3.59	3.56	4.92	1.83	2.40	3.93	4.39
ENSSSAG00000107631	ENSSSAT00000196979	0.01	0.00	0.00	0.00	0.00	0.00	0.11	0.22	0.00	0.00	0.00	0.00
ENSSSAG00000107632	ENSSSAT00000216873	46.52	60.13	44.77	43.37	59.27	72.13	81.20	109.83	110.10	83.63	138.06	95.45
ENSSSAG00000107633	ENSSSAT00000216088,ENSSSAT00000229433	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00
ENSSSAG00000107634	ENSSSAT00000254301	0.00	0.00	0.00	0.16	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.16
ENSSSAG00000107635	ENSSSAT00000182786,ENSSSAT00000196846,ENSSSAT00000252555	11.27	10.32	15.92	11.48	9.98	11.18	8.77	10.56	9.57	11.48	9.46	14.58
ENSSSAG00000107636	ENSSSAT00000193172	0.16	0.31	0.16	0.43	0.37	0.16	0.71	0.11	0.63	0.39	0.12	0.01
ENSSSAG00000107637	ENSSSAT00000244148	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07
ENSSSAG00000107638	ENSSSAT00000159366,ENSSSAT00000172545,ENSSSAT00000216820	1.40	1.09	2.18	1.50	1.05	1.78	1.27	1.08	1.79	1.05	1.50	3.34
ENSSSAG00000107639	ENSSSAT00000104994,ENSSSAT00000166928,ENSSSAT00000202202	0.62	0.56	0.43	0.51	0.40	0.36	0.60	0.70	0.73	0.35	0.37	0.44
ENSSSAG00000107640	ENSSSAT00000188148,ENSSSAT00000231659,ENSSSAT00000238998	0.08	0.00	0.00	0.00	0.09	0.29	0.00	0.00	0.00	0.27	0.00	0.00
ENSSSAG00000107641	ENSSSAT00000160304,ENSSSAT00000161513,ENSSSAT00000219839,ENSSSAT00000230781,ENSSSAT00000235543	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.07	0.08	0.00	0.00	0.00
ENSSSAG00000107642	ENSSSAT00000175352,ENSSSAT00000188760,ENSSSAT00000213341,ENSSSAT00000214513,ENSSSAT00000219856	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107643	ENSSSAT00000130915,ENSSSAT00000130917,ENSSSAT00000165810,ENSSSAT00000166853,ENSSSAT00000169586,ENSSSAT00000179179,ENSSSAT00000230993	1.62	1.19	2.08	1.60	1.81	1.02	2.09	1.98	1.99	1.99	1.66	1.47
ENSSSAG00000107644	ENSSSAT00000201042,ENSSSAT00000239228,ENSSSAT00000240849,ENSSSAT00000251703	0.07	0.12	0.31	0.44	0.34	0.48	0.07	0.29	0.08	0.00	0.07	0.04
ENSSSAG00000107645	ENSSSAT00000161806	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107646	ENSSSAT00000187078,ENSSSAT00000226227,ENSSSAT00000240209,ENSSSAT00000247735	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107647	ENSSSAT00000004325,ENSSSAT00000109477,ENSSSAT00000109484,ENSSSAT00000204562	36.03	53.23	42.20	35.45	41.42	33.40	42.00	64.42	45.10	48.49	40.00	56.81
ENSSSAG00000107648	ENSSSAT00000188761	0.00	0.03	0.03	0.00	0.01	0.00	0.00	0.05	0.00	0.00	0.00	0.00
ENSSSAG00000107649	ENSSSAT00000195898	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107650	ENSSSAT00000142821,ENSSSAT00000193463,ENSSSAT00000228453	0.00	0.00	0.00	0.00	0.04	0.02	0.00	0.00	0.02	0.02	0.00	0.00
ENSSSAG00000107651	ENSSSAT00000169554	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107652	ENSSSAT00000210814	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107653	ENSSSAT00000123081	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107654	ENSSSAT00000158032	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107655	ENSSSAT00000206008	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107656	ENSSSAT00000192778	0.05	0.07	0.03	0.00	0.02	0.05	0.07	0.02	0.02	0.00	0.00	0.03
ENSSSAG00000107657	ENSSSAT00000187379	8.82	11.02	12.07	8.33	11.85	10.27	7.73	11.43	13.12	8.40	8.03	15.52
ENSSSAG00000107658	ENSSSAT00000198867	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00
ENSSSAG00000107659	ENSSSAT00000218687	0.08	0.34	0.09	0.12	0.18	0.06	0.11	0.25	0.06	0.09	0.31	0.00
ENSSSAG00000107660	ENSSSAT00000178048,ENSSSAT00000193490	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107661	ENSSSAT00000199571	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107662	ENSSSAT00000166518,ENSSSAT00000175225,ENSSSAT00000216066,ENSSSAT00000245316,ENSSSAT00000253622	0.41	0.20	0.40	0.08	0.08	0.31	0.06	0.26	0.19	0.16	0.07	0.33
ENSSSAG00000107663	ENSSSAT00000172868,ENSSSAT00000219299,ENSSSAT00000222815,ENSSSAT00000252828	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107664	ENSSSAT00000167701,ENSSSAT00000184544,ENSSSAT00000219554,ENSSSAT00000241752,ENSSSAT00000250957	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107665	ENSSSAT00000165921,ENSSSAT00000180593	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107666	ENSSSAT00000161771	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107667	ENSSSAT00000164681,ENSSSAT00000166188,ENSSSAT00000213009,ENSSSAT00000215325,ENSSSAT00000247430	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107668	ENSSSAT00000234273	0.29	0.21	0.10	0.00	0.00	0.20	0.20	0.10	0.00	0.00	0.20	0.00
ENSSSAG00000107669	ENSSSAT00000227786	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107670	ENSSSAT00000166707	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107671	ENSSSAT00000185498	2.03	1.85	2.47	3.85	2.37	1.98	2.77	3.73	2.55	2.79	2.35	3.46
ENSSSAG00000107672	ENSSSAT00000077643,ENSSSAT00000214159,ENSSSAT00000232351	15.35	15.84	9.94	16.26	11.30	15.26	18.80	18.81	18.42	16.62	17.81	14.02
ENSSSAG00000107673	ENSSSAT00000017598,ENSSSAT00000017656,ENSSSAT00000072427,ENSSSAT00000165994,ENSSSAT00000177889,ENSSSAT00000179044,ENSSSAT00000205862,ENSSSAT00000212482,ENSSSAT00000219629,ENSSSAT00000220726	0.14	0.16	0.26	0.18	0.30	0.08	0.17	0.11	0.22	0.30	0.08	0.20
ENSSSAG00000107674	ENSSSAT00000187974,ENSSSAT00000220655,ENSSSAT00000223965	0.04	0.06	0.19	0.04	0.06	0.10	0.18	0.00	0.07	0.11	0.26	0.04
ENSSSAG00000107675	ENSSSAT00000216625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107676	ENSSSAT00000181089,ENSSSAT00000192127,ENSSSAT00000197019,ENSSSAT00000197217,ENSSSAT00000224990,ENSSSAT00000231620	17.04	17.67	23.48	25.16	19.44	18.46	15.71	20.15	11.78	14.53	33.79	12.66
ENSSSAG00000107677	ENSSSAT00000163713,ENSSSAT00000203131,ENSSSAT00000216434,ENSSSAT00000231965,ENSSSAT00000244531	1.11	1.89	1.20	1.22	1.33	1.30	2.27	1.18	1.33	0.83	1.30	1.54
ENSSSAG00000107678	ENSSSAT00000253053	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107679	ENSSSAT00000195918,ENSSSAT00000207229,ENSSSAT00000241022	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107680	ENSSSAT00000207126,ENSSSAT00000235971,ENSSSAT00000241860	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107681	ENSSSAT00000162740,ENSSSAT00000231416	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107682	ENSSSAT00000232531	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107683	ENSSSAT00000160095	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107684	ENSSSAT00000226859	2.95	2.03	2.39	2.61	1.79	2.19	1.41	1.86	1.21	1.58	1.94	2.70
ENSSSAG00000107685	ENSSSAT00000205038,ENSSSAT00000216404	0.21	0.39	0.29	0.29	0.45	0.07	0.71	0.61	0.37	0.26	0.26	0.19
ENSSSAG00000107686	ENSSSAT00000235104	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107687	ENSSSAT00000168983,ENSSSAT00000249397	4.72	6.77	6.51	6.42	6.17	4.68	7.25	8.69	9.82	6.01	6.34	5.22
ENSSSAG00000107688	ENSSSAT00000189249	0.00	0.36	0.00	0.00	1.56	0.00	2.54	0.71	0.00	0.00	0.00	0.00
ENSSSAG00000107689	ENSSSAT00000227509	0.32	0.36	0.44	0.29	0.35	0.11	0.28	0.22	0.25	0.11	0.33	0.12
ENSSSAG00000107690	ENSSSAT00000219927	0.00	0.12	0.06	0.22	0.07	0.00	0.00	0.03	0.11	0.06	0.05	0.00
ENSSSAG00000107691	ENSSSAT00000240147,ENSSSAT00000249263	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107692	ENSSSAT00000245345	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107693	ENSSSAT00000159099	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107694	ENSSSAT00000192528,ENSSSAT00000206768	10.20	9.95	8.08	7.94	8.30	6.65	6.52	4.78	5.15	4.44	5.97	8.49
ENSSSAG00000107695	ENSSSAT00000253517	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107696	ENSSSAT00000197428	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107697	ENSSSAT00000214676,ENSSSAT00000252064	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.00
ENSSSAG00000107698	ENSSSAT00000209988	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107699	ENSSSAT00000163170,ENSSSAT00000163491,ENSSSAT00000210855	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107700	ENSSSAT00000156946,ENSSSAT00000158938,ENSSSAT00000189857,ENSSSAT00000190039,ENSSSAT00000200981,ENSSSAT00000201998,ENSSSAT00000217970,ENSSSAT00000227358	5.22	5.02	5.98	5.99	6.04	5.42	6.21	7.49	7.19	4.94	4.79	2.75
ENSSSAG00000107701	ENSSSAT00000168033,ENSSSAT00000243322,ENSSSAT00000246809	8.97	15.54	13.63	12.45	16.89	12.01	14.08	19.44	18.38	11.68	12.28	25.60
ENSSSAG00000107702	ENSSSAT00000180374,ENSSSAT00000189501,ENSSSAT00000198713,ENSSSAT00000237676,ENSSSAT00000239608,ENSSSAT00000246243,ENSSSAT00000246861	14.67	13.03	22.04	19.16	31.33	23.56	33.40	32.80	25.82	18.07	20.74	24.66
ENSSSAG00000107703	ENSSSAT00000186872	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107704	ENSSSAT00000217698	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107705	ENSSSAT00000253786	11.77	16.20	14.38	13.94	12.97	12.52	13.01	14.52	12.77	11.72	13.54	11.89
ENSSSAG00000107706	ENSSSAT00000159551,ENSSSAT00000161774,ENSSSAT00000217992,ENSSSAT00000226841,ENSSSAT00000227818	4.57	6.43	4.98	7.24	7.43	8.64	8.00	8.64	5.62	6.92	4.57	9.10
ENSSSAG00000107707	ENSSSAT00000161722,ENSSSAT00000162324,ENSSSAT00000189382,ENSSSAT00000237173	0.10	0.44	0.19	0.24	0.24	0.07	0.39	0.24	0.63	0.50	0.23	0.26
ENSSSAG00000107708	ENSSSAT00000158034	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107709	ENSSSAT00000215559,ENSSSAT00000244662,ENSSSAT00000248063	2.32	1.61	2.25	1.15	1.85	1.21	2.00	2.25	2.22	2.87	2.19	2.43
ENSSSAG00000107710	ENSSSAT00000165673,ENSSSAT00000179577,ENSSSAT00000196428	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107711	ENSSSAT00000157914,ENSSSAT00000172482,ENSSSAT00000180625,ENSSSAT00000196304,ENSSSAT00000210533,ENSSSAT00000217560,ENSSSAT00000226653,ENSSSAT00000226710,ENSSSAT00000235783,ENSSSAT00000254350	2.86	1.17	0.69	3.09	0.96	1.44	2.44	2.31	1.41	2.76	3.07	1.02
ENSSSAG00000107712	ENSSSAT00000208232	0.00	0.08	0.36	0.23	0.00	0.00	0.36	0.28	0.08	0.22	0.14	0.60
ENSSSAG00000107713	ENSSSAT00000166128,ENSSSAT00000189348,ENSSSAT00000235644,ENSSSAT00000236159	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.11	0.00	0.00	0.00
ENSSSAG00000107714	ENSSSAT00000189627,ENSSSAT00000217534	0.30	0.56	0.71	0.76	0.68	0.49	0.36	0.18	0.62	0.61	0.27	0.44
ENSSSAG00000107715	ENSSSAT00000168860,ENSSSAT00000176157,ENSSSAT00000218859,ENSSSAT00000221426,ENSSSAT00000229248	0.11	0.12	0.07	0.12	0.14	0.04	0.11	0.06	0.04	0.06	0.04	0.00
ENSSSAG00000107716	ENSSSAT00000228800	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107717	ENSSSAT00000188407	0.07	0.08	0.14	0.08	0.07	0.07	0.07	0.07	0.00	0.29	0.29	0.15
ENSSSAG00000107718	ENSSSAT00000163312,ENSSSAT00000164389,ENSSSAT00000197590,ENSSSAT00000229807,ENSSSAT00000253448	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107719	ENSSSAT00000239267	0.14	0.09	0.03	0.03	0.03	0.09	0.03	0.00	0.00	0.03	0.06	0.00
ENSSSAG00000107720	ENSSSAT00000224012,ENSSSAT00000229718	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107721	ENSSSAT00000250466	3.18	2.58	3.07	1.72	2.40	2.32	2.73	2.30	2.08	2.86	2.21	2.30
ENSSSAG00000107722	ENSSSAT00000203140	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107723	ENSSSAT00000064228,ENSSSAT00000085019,ENSSSAT00000187316,ENSSSAT00000206960,ENSSSAT00000228690,ENSSSAT00000252143	0.01	0.01	0.02	0.03	0.02	0.00	0.02	0.00	0.05	0.05	0.00	0.02
ENSSSAG00000107724	ENSSSAT00000198816	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107725	ENSSSAT00000233862	0.00	0.14	0.00	0.00	0.00	0.00	0.76	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107726	ENSSSAT00000090058	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107727	ENSSSAT00000177855	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107728	ENSSSAT00000232935,ENSSSAT00000243145,ENSSSAT00000246686	0.16	0.00	0.00	0.00	0.00	0.32	0.33	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107729	ENSSSAT00000169269	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107730	ENSSSAT00000242370,ENSSSAT00000244952	1.66	2.13	1.54	2.03	1.75	0.91	3.08	2.39	2.91	2.65	2.12	1.39
ENSSSAG00000107731	ENSSSAT00000210973	2.05	0.49	1.75	1.17	1.25	1.09	1.39	1.09	2.69	1.31	1.49	1.36
ENSSSAG00000107732	ENSSSAT00000200487,ENSSSAT00000221801	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107733	ENSSSAT00000204130,ENSSSAT00000252262	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107734	ENSSSAT00000180043,ENSSSAT00000206784	1.99	5.87	4.26	4.47	5.25	2.19	5.47	8.04	12.25	4.53	3.76	1.89
ENSSSAG00000107735	ENSSSAT00000239306	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107736	ENSSSAT00000174992	6.73	6.72	8.47	6.85	6.66	8.94	6.80	9.72	7.18	7.74	8.05	11.87
ENSSSAG00000107737	ENSSSAT00000190209	1.22	1.73	2.55	2.52	2.85	2.22	2.74	2.89	3.41	2.40	2.23	1.35
ENSSSAG00000107738	ENSSSAT00000181853,ENSSSAT00000188364,ENSSSAT00000204180,ENSSSAT00000252255	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107739	ENSSSAT00000207392	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107740	ENSSSAT00000206548	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107741	ENSSSAT00000220375	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107742	ENSSSAT00000173801,ENSSSAT00000206788	18.04	23.67	24.76	22.00	23.20	19.13	24.88	33.21	37.76	18.22	20.29	25.22
ENSSSAG00000107743	ENSSSAT00000247713,ENSSSAT00000252038	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.13	0.05	0.30	0.00	0.00
ENSSSAG00000107744	ENSSSAT00000185140,ENSSSAT00000196385	21.17	23.42	30.66	23.77	22.79	28.34	22.86	29.94	33.56	28.43	21.60	35.59
ENSSSAG00000107745	ENSSSAT00000236524	0.36	0.25	0.46	0.36	0.24	0.39	0.56	0.25	0.15	0.44	0.16	0.42
ENSSSAG00000107746	ENSSSAT00000234854	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107747	ENSSSAT00000162240,ENSSSAT00000190497	0.29	0.81	0.79	0.21	0.31	0.51	0.46	0.00	0.71	0.00	0.59	0.29
ENSSSAG00000107748	ENSSSAT00000218462	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107749	ENSSSAT00000248088	0.00	0.07	0.02	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.02	0.00
ENSSSAG00000107750	ENSSSAT00000210207	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107751	ENSSSAT00000161848	1.78	2.67	2.39	2.50	4.62	4.26	2.47	5.22	4.78	3.02	3.98	2.73
ENSSSAG00000107752	ENSSSAT00000195683	1.09	0.52	0.67	0.42	0.74	0.51	0.60	0.35	0.44	0.64	0.67	0.04
ENSSSAG00000107753	ENSSSAT00000215903,ENSSSAT00000241119	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107754	ENSSSAT00000195693	15.84	3.12	6.69	3.97	5.54	9.76	12.96	4.45	4.79	8.51	8.81	3.00
ENSSSAG00000107755	ENSSSAT00000216323	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107756	ENSSSAT00000185835,ENSSSAT00000228607,ENSSSAT00000230121,ENSSSAT00000250599	0.05	0.08	0.39	0.16	0.11	0.09	0.36	0.27	0.16	0.07	0.33	0.14
ENSSSAG00000107757	ENSSSAT00000070097,ENSSSAT00000245041	0.00	0.00	0.20	0.00	0.00	0.20	0.05	0.20	0.06	0.05	0.00	0.02
ENSSSAG00000107758	ENSSSAT00000204534	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107759	ENSSSAT00000016667,ENSSSAT00000016685,ENSSSAT00000158586	22.91	21.97	27.23	20.42	22.38	26.58	23.51	28.56	23.40	28.55	23.48	25.13
ENSSSAG00000107760	ENSSSAT00000254587	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107761	ENSSSAT00000178468,ENSSSAT00000190645,ENSSSAT00000248594	0.05	0.10	0.15	0.00	0.24	0.00	0.00	0.00	0.05	0.00	0.00	0.00
ENSSSAG00000107762	ENSSSAT00000171302	1.98	2.49	2.53	2.24	2.70	3.01	2.48	3.05	2.57	1.97	2.23	2.83
ENSSSAG00000107763	ENSSSAT00000124946	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107764	ENSSSAT00000179345	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107765	ENSSSAT00000187801	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107766	ENSSSAT00000222009	0.29	0.16	0.29	0.00	0.31	0.15	0.28	0.00	0.00	0.34	0.38	0.22
ENSSSAG00000107767	ENSSSAT00000171896	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107768	ENSSSAT00000230791	0.52	0.98	0.65	1.10	0.91	0.73	2.16	3.19	1.54	0.84	1.35	0.98
ENSSSAG00000107769	ENSSSAT00000198509,ENSSSAT00000226673,ENSSSAT00000227501	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107770	ENSSSAT00000165330,ENSSSAT00000173399	26.75	14.58	13.92	11.00	17.00	10.11	18.32	18.60	22.67	2.29	29.26	27.79
